Key,Best CJM,Score
5,"[((6, 7, 8, 16, 18), (1, 13, 8, 11, 1)), ((12, 13, 15, 16, 18), (1, 19, 13, 17, 1)), ((11, 12, 13, 14, 16), (1, 6, 11, 13, 1)), ((12, 12.5, 14, 14.5, 16), (1, 13, 11, 1, 1)), ((7, 7.5, 8, 11, 21), (1, 16, 1, 3, 1))]",0.40787261405706854
8,"[((7, 8, 8.5, 10, 11, 13, 14, 16), (1, 16, 1, 11, 1, 14, 15, 1)), ((8, 9, 10, 11, 12, 13, 18, 22), (1, 18, 11, 1, 13, 1, 15, 1)), ((8, 8.5, 11, 12, 12.5, 14, 14.5, 16), (1, 3, 11, 1, 13, 11, 1, 1)), ((7, 8, 9, 10, 12, 17, 19, 21), (1, 11, 13, 4, 4, 4, 7, 4)), ((7, 7.5, 8.0, 10, 11, 12, 13, 14), (1, 6, 1, 18, 6, 13, 6, 1)), ((8, 9, 10, 11, 12, 13, 18, 22), (1, 18, 11, 1, 13, 1, 15, 1)), ((12, 12.5, 14, 14.5, 16), (1, 13, 11, 1, 1))]",0.544681390018087
10,"[((6, 6.5, 7, 8, 8.5, 9, 15, 16, 19, 22), (1, 16, 1, 16, 1, 4, 3, 1, 17, 1)), ((4, 4.5, 10, 11, 11.5, 12.0, 13, 14, 14.5, 18), (3, 1, 18, 18, 1, 1, 11, 11, 1, 3)), ((8, 8.5, 9, 11, 11.5, 13, 17, 18, 20, 23), (1, 1, 1, 12, 4, 4, 4, 4, 13, 1)), ((6, 7, 8, 10, 11, 13, 13.5, 15, 16, 18), (1, 3, 3, 3, 3, 3, 3, 3, 3, 1)), ((14, 15, 16), (1, 18, 1))]",0.7072605941554694
10,"[((6, 6.5, 7, 8, 8.5, 9, 15, 16, 19, 22), (1, 16, 1, 16, 1, 4, 3, 1, 17, 1)), ((4, 4.5, 10, 11, 11.5, 12.0, 13, 14, 14.5, 18), (3, 1, 18, 18, 1, 1, 11, 11, 1, 3)), ((8, 8.5, 9, 11, 11.5, 13, 17, 18, 20, 23), (1, 1, 1, 12, 4, 4, 4, 4, 13, 1)), ((6, 7, 8, 10, 11, 13, 13.5, 15, 16, 18), (1, 3, 3, 3, 3, 3, 3, 3, 3, 1)), ((14, 15, 16), (1, 18, 1))]",0.7072605941554694
10,"[((6, 6.5, 7, 8, 8.5, 9, 15, 16, 19, 22), (1, 16, 1, 16, 1, 4, 3, 1, 17, 1)), ((4, 4.5, 10, 11, 11.5, 12.0, 13, 14, 14.5, 18), (3, 1, 18, 18, 1, 1, 11, 11, 1, 3)), ((8, 8.5, 9, 11, 11.5, 13, 17, 18, 20, 23), (1, 1, 1, 12, 4, 4, 4, 4, 13, 1)), ((6, 7, 8, 10, 11, 13, 13.5, 15, 16, 18), (1, 3, 3, 3, 3, 3, 3, 3, 3, 1)), ((14, 15, 16), (1, 18, 1))]",0.7072605941554694
9,"[((11, 11.5, 12.0, 13, 14, 15, 16, 17, 17.5), (1, 12, 1, 16, 16, 11, 1, 12, 1)), ((8, 9, 9.5, 10, 10, 14, 17, 17.5, 18, 20), (1, 3, 4, 3, 7, 4, 6, 11, 19, 1)), ((10, 10.5, 11, 12, 15, 19, 19.5, 22), (1, 12, 1, 17, 1, 1, 15, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((7, 7.5, 16), (1, 3, 1))]",0.7211885574022032
9,"[((11, 11.5, 12.0, 13, 14, 15, 16, 17, 17.5), (1, 12, 1, 16, 16, 11, 1, 12, 1)), ((8, 9, 9.5, 10, 10, 14, 17, 17.5, 18, 20), (1, 3, 4, 3, 7, 4, 6, 11, 19, 1)), ((10, 10.5, 11, 12, 15, 19, 19.5, 22), (1, 12, 1, 17, 1, 1, 15, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((7, 7.5, 16), (1, 3, 1))]",0.7211885574022032
9,"[((11, 11.5, 12.0, 13, 14, 15, 16, 17, 17.5), (1, 12, 1, 16, 16, 11, 1, 12, 1)), ((8, 9, 9.5, 10, 10, 14, 17, 17.5, 18, 20), (1, 3, 4, 3, 7, 4, 6, 11, 19, 1)), ((10, 10.5, 11, 12, 15, 19, 19.5, 22), (1, 12, 1, 17, 1, 1, 15, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((7, 7.5, 16), (1, 3, 1))]",0.7211885574022032
9,"[((11, 11.5, 12.0, 13, 14, 15, 16, 17, 17.5), (1, 12, 1, 16, 16, 11, 1, 12, 1)), ((8, 9, 9.5, 10, 10, 14, 17, 17.5, 18, 20), (1, 3, 4, 3, 7, 4, 6, 11, 19, 1)), ((10, 10.5, 11, 12, 15, 19, 19.5, 22), (1, 12, 1, 17, 1, 1, 15, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((7, 7.5, 16), (1, 3, 1))]",0.7211885574022032
9,"[((11, 11.5, 12.0, 13, 14, 15, 16, 17, 17.5), (1, 12, 1, 16, 16, 11, 1, 12, 1)), ((8, 9, 9.5, 10, 10, 14, 17, 17.5, 18, 20), (1, 3, 4, 3, 7, 4, 6, 11, 19, 1)), ((10, 10.5, 11, 12, 15, 19, 19.5, 22), (1, 12, 1, 17, 1, 1, 15, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((7, 7.5, 16), (1, 3, 1))]",0.7211885574022032
9,"[((11, 11.5, 12.0, 13, 14, 15, 16, 17, 17.5), (1, 12, 1, 16, 16, 11, 1, 12, 1)), ((8, 9, 9.5, 10, 10, 14, 17, 17.5, 18, 20), (1, 3, 4, 3, 7, 4, 6, 11, 19, 1)), ((10, 10.5, 11, 12, 15, 19, 19.5, 22), (1, 12, 1, 17, 1, 1, 15, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((7, 7.5, 16), (1, 3, 1))]",0.7211885574022032
9,"[((11, 11.5, 12.0, 13, 14, 15, 16, 17, 17.5), (1, 12, 1, 16, 16, 11, 1, 12, 1)), ((8, 9, 9.5, 10, 10, 14, 17, 17.5, 18, 20), (1, 3, 4, 3, 7, 4, 6, 11, 19, 1)), ((10, 10.5, 11, 12, 15, 19, 19.5, 22), (1, 12, 1, 17, 1, 1, 15, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((7, 7.5, 16), (1, 3, 1))]",0.7211885574022032
9,"[((11, 11.5, 12.0, 13, 14, 15, 16, 17, 17.5), (1, 12, 1, 16, 16, 11, 1, 12, 1)), ((8, 9, 9.5, 10, 10, 14, 17, 17.5, 18, 20), (1, 3, 4, 3, 7, 4, 6, 11, 19, 1)), ((10, 10.5, 11, 12, 15, 19, 19.5, 22), (1, 12, 1, 17, 1, 1, 15, 1)), ((8, 8.5, 9, 11, 11.5, 12.0, 13, 17, 19), (1, 11, 13, 11, 11, 1, 17, 13, 1)), ((7, 7.5, 16), (1, 3, 1))]",0.7211885574022032
